n_episode : 1, Total Frames : 56, Average Score : 130.0, Episode Score : 130.0, Best Score : 130.0, n_buffer : 56, eps : 100.0%
n_episode : 2, Total Frames : 99, Average Score : 115.0, Episode Score : 100.0, Best Score : 130.0, n_buffer : 99, eps : 99.9%
n_episode : 3, Total Frames : 140, Average Score : 93.3, Episode Score : 50.0, Best Score : 130.0, n_buffer : 140, eps : 99.9%
n_episode : 4, Total Frames : 253, Average Score : 150.0, Episode Score : 320.0, Best Score : 320.0, n_buffer : 253, eps : 99.9%
n_episode : 5, Total Frames : 296, Average Score : 144.0, Episode Score : 120.0, Best Score : 320.0, n_buffer : 296, eps : 99.7%
n_episode : 6, Total Frames : 327, Average Score : 123.3, Episode Score : 20.0, Best Score : 320.0, n_buffer : 327, eps : 99.7%
n_episode : 7, Total Frames : 385, Average Score : 135.7, Episode Score : 210.0, Best Score : 320.0, n_buffer : 385, eps : 99.7%
n_episode : 8, Total Frames : 435, Average Score : 142.5, Episode Score : 190.0, Best Score : 320.0, n_buffer : 435, eps : 99.6%
n_episode : 9, Total Frames : 480, Average Score : 137.8, Episode Score : 100.0, Best Score : 320.0, n_buffer : 480, eps : 99.6%
n_episode : 10, Total Frames : 534, Average Score : 139.0, Episode Score : 150.0, Best Score : 320.0, n_buffer : 534, eps : 99.5%
n_episode : 11, Total Frames : 557, Average Score : 128.2, Episode Score : 20.0, Best Score : 320.0, n_buffer : 557, eps : 99.5%
n_episode : 12, Total Frames : 630, Average Score : 130.8, Episode Score : 160.0, Best Score : 320.0, n_buffer : 630, eps : 99.5%
n_episode : 13, Total Frames : 728, Average Score : 160.8, Episode Score : 520.0, Best Score : 520.0, n_buffer : 728, eps : 99.4%
n_episode : 14, Total Frames : 772, Average Score : 150.0, Episode Score : 10.0, Best Score : 520.0, n_buffer : 772, eps : 99.3%
n_episode : 15, Total Frames : 811, Average Score : 144.7, Episode Score : 70.0, Best Score : 520.0, n_buffer : 811, eps : 99.2%
